Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.2513689994812012	0	17.20339	5.229576	33.0	9.0	17.203389830508474	5.229575803573394	1015	1015
1.964967966079712	1	12.481482	3.5489907	26.0	8.0	12.481481481481481	3.548990853301479	1011	2026
2.4175539016723633	2	11.10989	2.150648	20.0	8.0	11.10989010989011	2.1506479956308464	1011	3037
2.865633964538574	3	10.350515	1.6748056	16.0	8.0	10.350515463917526	1.674805648754826	1004	4041
3.3245439529418945	4	9.970297	1.2384553	14.0	8.0	9.970297029702971	1.2384551662866397	1007	5048
3.7743289470672607	5	10.08	1.4469277	15.0	8.0	10.08	1.4469277798148739	1008	6056
4.227222919464111	6	9.747573	1.3272239	16.0	8.0	9.74757281553398	1.3272238827677716	1004	7060
4.695037841796875	7	9.6	0.9621405	13.0	8.0	9.6	0.9621404708847278	1008	8068
5.158336877822876	8	9.533334	1.1469767	15.0	8.0	9.533333333333333	1.1469767022723503	1001	9069
5.843699932098389	9	9.571428	0.9646825	12.0	8.0	9.571428571428571	0.9646824580648077	1005	10074
